Date,Employee Name,Crew Name,Role,Service Name,Jobs,Hours,Revenue,Total Daily Hours
2025-11-05,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1294.75,10
2025-11-05,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-11-05,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-11-06,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1126.23,10
2025-11-06,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1126.23,10
2025-11-06,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1326.42,10
2025-11-06,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1326.42,10
2025-11-06,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1512.66,10
2025-11-06,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1512.66,10
2025-11-06,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,5,1200,10
2025-11-06,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,5,1200,10
2025-11-07,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1460.85,10
2025-11-07,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1460.85,10
2025-11-07,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1149.57,10
2025-11-07,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1149.57,10
2025-11-07,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1162.38,10
2025-11-07,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1162.38,10
2025-11-07,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.7,1200,10
2025-11-07,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.7,1200,10
2025-11-10,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1487.87,10
2025-11-10,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1487.87,10
2025-11-10,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1330.71,10
2025-11-10,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1330.71,10
2025-11-10,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1460.13,10
2025-11-10,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1460.13,10
2025-11-10,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.7,1200,10
2025-11-10,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.7,1200,10
2025-11-11,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1115.33,10
2025-11-11,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1115.33,10
2025-11-11,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1306.12,10
2025-11-11,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1306.12,10
2025-11-11,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1293.88,10
2025-11-11,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1293.88,10
2025-11-11,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-11-11,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-11-12,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1229.08,10
2025-11-12,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1229.08,10
2025-11-12,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1419.1,10
2025-11-12,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1419.1,10
2025-11-12,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,299.91,10
2025-11-12,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,299.91,10
2025-11-12,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-11-12,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-11-13,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.5,317.84,10
2025-11-13,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.5,317.84,10
2025-11-13,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1251.17,10
2025-11-13,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1251.17,10
2025-11-13,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1393.48,10
2025-11-13,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1393.48,10
2025-11-13,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1400,10
2025-11-13,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1400,10
2025-11-14,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1504.41,10
2025-11-14,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1504.41,10
2025-11-14,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,308.67,10
2025-11-14,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,308.67,10
2025-11-14,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,334.19,10
2025-11-14,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,334.19,10
2025-11-14,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.5,325,10
2025-11-14,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.5,325,10
2025-11-17,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.7,1209.73,10
2025-11-17,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.7,1209.73,10
2025-11-17,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1189.01,10
2025-11-17,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1189.01,10
2025-11-17,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1140.29,10
2025-11-17,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1140.29,10
2025-11-17,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,325,10
2025-11-17,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,325,10
2025-11-18,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.5,1427.41,10
2025-11-18,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.5,1427.41,10
2025-11-18,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1142.51,10
2025-11-18,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1142.51,10
2025-11-18,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,357.37,10
2025-11-18,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,357.37,10
2025-11-18,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-11-18,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-11-19,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,5,1304.81,10
2025-11-19,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,5,1304.81,10
2025-11-19,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.5,1135.67,10
2025-11-19,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.5,1135.67,10
2025-11-19,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,311.87,10
2025-11-19,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,311.87,10
2025-11-19,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-11-19,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-11-20,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.3,1358.73,10
2025-11-20,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.3,1358.73,10
2025-11-20,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1254.77,10
2025-11-20,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1254.77,10
2025-11-20,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.3,1266.39,10
2025-11-20,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.3,1266.39,10
2025-11-20,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-11-20,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-11-21,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,350.41,10
2025-11-21,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,350.41,10
2025-11-21,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1456.97,10
2025-11-21,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1456.97,10
2025-11-21,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,317.34,10
2025-11-21,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,317.34,10
2025-11-21,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,325,10
2025-11-21,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,325,10
2025-11-24,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1413.89,10
2025-11-24,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1413.89,10
2025-11-24,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1437.23,10
2025-11-24,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1437.23,10
2025-11-24,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1220.25,10
2025-11-24,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1220.25,10
2025-11-24,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-11-24,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-11-25,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.7,1133.54,10
2025-11-25,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.7,1133.54,10
2025-11-25,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1249.98,10
2025-11-25,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1249.98,10
2025-11-25,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,295.53,10
2025-11-25,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,295.53,10
2025-11-25,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,325,10
2025-11-25,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,325,10
2025-11-26,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,298.25,10
2025-11-26,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,298.25,10
2025-11-26,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.5,329.33,10
2025-11-26,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.5,329.33,10
2025-11-26,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,341.83,10
2025-11-26,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,341.83,10
2025-11-26,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.5,325,10
2025-11-26,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.5,325,10
2025-11-27,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1366.24,10
2025-11-27,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1366.24,10
2025-11-27,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.5,346.69,10
2025-11-27,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.5,346.69,10
2025-11-27,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,352,10
2025-11-27,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,352,10
2025-11-27,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1400,10
2025-11-27,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1400,10
2025-11-28,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1478.31,10
2025-11-28,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1478.31,10
2025-11-28,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,293.42,10
2025-11-28,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,293.42,10
2025-11-28,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1110,10
2025-11-28,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1110,10
2025-11-28,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,325,10
2025-11-28,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,325,10
2025-12-01,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.5,1128.85,10
2025-12-01,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.5,1128.85,10
2025-12-01,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.3,1498.68,10
2025-12-01,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.3,1498.68,10
2025-12-01,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.5,326.65,10
2025-12-01,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.5,326.65,10
2025-12-01,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.3,1400,10
2025-12-01,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.3,1400,10
2025-12-02,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,330.09,10
2025-12-02,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,330.09,10
2025-12-02,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1263.06,10
2025-12-02,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1263.06,10
2025-12-02,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1293.63,10
2025-12-02,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1293.63,10
2025-12-02,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-12-02,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1200,10
2025-12-03,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1521.5,10
2025-12-03,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1521.5,10
2025-12-03,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,314.81,10
2025-12-03,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,314.81,10
2025-12-03,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.3,1521.83,10
2025-12-03,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.3,1521.83,10
2025-12-03,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,325,10
2025-12-03,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,325,10
2025-12-04,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,309.9,10
2025-12-04,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,309.9,10
2025-12-04,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.5,1261.58,10
2025-12-04,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.5,1261.58,10
2025-12-04,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1305.44,10
2025-12-04,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1305.44,10
2025-12-04,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1400,10
2025-12-04,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1400,10
2025-12-05,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.5,1314.01,10
2025-12-05,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.5,1314.01,10
2025-12-05,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.7,1182.07,10
2025-12-05,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.7,1182.07,10
2025-12-05,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,304.22,10
2025-12-05,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,304.22,10
2025-12-05,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,325,10
2025-12-05,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,325,10
2025-12-08,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1525.72,10
2025-12-08,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1525.72,10
2025-12-08,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.5,309.8,10
2025-12-08,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.5,309.8,10
2025-12-08,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,335.53,10
2025-12-08,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,335.53,10
2025-12-08,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-12-08,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-12-09,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1363.67,10
2025-12-09,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1363.67,10
2025-12-09,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.5,1176.9,10
2025-12-09,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.5,1176.9,10
2025-12-09,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1270.94,10
2025-12-09,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1270.94,10
2025-12-09,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-12-09,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-12-10,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1303.16,10
2025-12-10,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1303.16,10
2025-12-10,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1218.08,10
2025-12-10,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1218.08,10
2025-12-10,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.7,1175.44,10
2025-12-10,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.7,1175.44,10
2025-12-10,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-12-10,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-12-11,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1265.71,10
2025-12-11,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1265.71,10
2025-12-11,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,324.94,10
2025-12-11,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,324.94,10
2025-12-11,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,297.51,10
2025-12-11,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,297.51,10
2025-12-11,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-12-11,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-12-12,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.5,1321.37,10
2025-12-12,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.5,1321.37,10
2025-12-12,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1245.93,10
2025-12-12,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1245.93,10
2025-12-12,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1245.47,10
2025-12-12,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1245.47,10
2025-12-12,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1400,10
2025-12-12,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1400,10
2025-12-15,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1468.9,10
2025-12-15,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1468.9,10
2025-12-15,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1372.96,10
2025-12-15,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1372.96,10
2025-12-15,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1523.94,10
2025-12-15,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1523.94,10
2025-12-15,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.3,1400,10
2025-12-15,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.3,1400,10
2025-12-16,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,344.22,10
2025-12-16,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,344.22,10
2025-12-16,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1394.16,10
2025-12-16,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1394.16,10
2025-12-16,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1414.83,10
2025-12-16,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1414.83,10
2025-12-16,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,325,10
2025-12-16,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,325,10
2025-12-17,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1311.06,10
2025-12-17,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1311.06,10
2025-12-17,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1236.81,10
2025-12-17,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1236.81,10
2025-12-17,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1161.32,10
2025-12-17,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1161.32,10
2025-12-17,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1400,10
2025-12-17,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1400,10
2025-12-18,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1312.53,10
2025-12-18,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1312.53,10
2025-12-18,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1281.49,10
2025-12-18,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1281.49,10
2025-12-18,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1450.82,10
2025-12-18,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1450.82,10
2025-12-18,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1400,10
2025-12-18,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1400,10
2025-12-19,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1188.15,10
2025-12-19,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1188.15,10
2025-12-19,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.7,1127.47,10
2025-12-19,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.7,1127.47,10
2025-12-19,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1408.03,10
2025-12-19,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1408.03,10
2025-12-19,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-12-19,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-12-22,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1369.04,10
2025-12-22,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1369.04,10
2025-12-22,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1106.58,10
2025-12-22,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1106.58,10
2025-12-22,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.5,1465.17,10
2025-12-22,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.5,1465.17,10
2025-12-22,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.5,325,10
2025-12-22,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.5,325,10
2025-12-23,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1327.26,10
2025-12-23,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1327.26,10
2025-12-23,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,312.6,10
2025-12-23,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,312.6,10
2025-12-23,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.9,1173.39,10
2025-12-23,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.9,1173.39,10
2025-12-23,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1400,10
2025-12-23,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1400,10
2025-12-24,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.5,1266.63,10
2025-12-24,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.5,1266.63,10
2025-12-24,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1265.72,10
2025-12-24,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1265.72,10
